Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0
fnn,100000,rastrigin_func,0,0,8.298597051251056e-06,4.228824370548586,0.18023149818871564,0.1919173339392628,330.87360739707947
fnn,1000,rastrigin_func,0,0,0.0008940542216064591,2.1141919741746444,0.268781988495796,0.2735364553639105,5.018134832382202
fnn,10000,rastrigin_func,0,0,3.9008907588292935e-05,1.940066100835935,0.1829130613486934,0.16200582369880642,27.694893836975098
fnn,1000000,rastrigin_func,0,0,2.0893212952324173e-06,11.032949041405416,0.1730290083595218,0.19292219255986956,5989.910179376602
fnn,10000,rastrigin_func,0.0,5.0,3.619253457977026e-05,1.7247551634101739,0.1709158234450241,0.16464794827438248,26.92089819908142
fnn,1000,rastrigin_func,0.0,5.0,0.0001764988985489527,1.8966789003384865,0.2541676827157652,0.28054331735972443,2.9495997428894043
fnn,1000000,rastrigin_func,0.0,5.0,5.246718162441889e-07,7.603876387195294,0.17370350996959563,0.1858161052333931,2564.426033973694
fnn,100000,rastrigin_func,0.0,5.0,2.7048822986124354e-06,7.490173847966249,0.17580861981250415,0.17980854100406105,168.84055423736572
fnn,10000,rosenbrock_func,0,0,0.0005843017160058801,283.03618328987204,1.6337667346234697,9.172899733510247,73.07100987434387
fnn,100000,rosenbrock_func,0,0,0.00015484166993410905,919.2408005657824,0.9792550669428748,10.081010317308383,419.50016617774963
fnn,1000,rosenbrock_func,0,0,0.004581844934920421,220.68721099845658,4.455539601006021,20.151694747622113,5.235394716262817
fnn,1000000,rosenbrock_func,0,0,2.2243536678973618e-08,934.3400572656022,0.33450787189641745,5.7793445275090525,2298.8777606487274
fnn,10000,rosenbrock_func,0.0,5.0,0.000839651599541113,375.4035244065231,3.039183973493686,16.753601481018055,73.3157229423523
fnn,1000,rosenbrock_func,0.0,5.0,0.01711576901833477,102.02255809998924,3.8059667348182353,10.089472119972127,5.475021600723267
fnn,1000000,rosenbrock_func,0.0,5.0,3.874257837509162e-07,275.45041317643285,0.09112094345147749,1.0677021593629377,3009.548266887665
fnn,100000,rosenbrock_func,0.0,5.0,2.265132911066876e-06,880.2807852254018,0.7801513285706517,9.234096353388674,611.8770444393158
fnn,1000,sphere_func,0,0,0.0005689879611036542,15.711568729245332,0.7606433184761485,1.6331922778118741,2.944340467453003
fnn,1000000,sphere_func,0,0,0.0011401576929184734,3.3058980376272666,0.015309388432543296,0.023666168758984776,2321.2336246967316
fnn,10000,sphere_func,0,0,8.444846694469863e-05,2.4139664334476403,0.05486457340695937,0.09055751106141809,64.55397439002991
fnn,100000,sphere_func,0,0,8.636112085981528e-06,5.786409035287349,0.037421529092223856,0.1231631493829077,317.23351073265076
fnn,10000,sphere_func,0.0,5.0,0.0001056185191527109,2.487789966768788,0.05511539712945447,0.11225262750850198,68.43168497085571
fnn,1000000,sphere_func,0.0,5.0,1.2759516591468086e-06,10.954806298475804,0.043848011607780756,0.07401778181664201,1832.936787366867
fnn,1000,sphere_func,0.0,5.0,0.0025141228293272745,4.597002837255149,0.5725277768477371,0.7898993675609243,2.520904302597046
fnn,100000,sphere_func,0.0,5.0,1.9042478842739943e-05,28.555611209526212,0.10373195074648803,0.382181678148164,320.08957052230835
