Method,Data size,Data function,Noise mean,Noise std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0
16nn,1000,rastrigin_func,0,0,2.2885731966453341e-07,0.00015150527579065547,4.7647693755190515e-05,3.4451833273034516e-05,0.09581112861633301
16nn,1000000,rastrigin_func,0,0,3.9359056777198565e-11,0.00012080161255484938,2.7865602104125684e-05,2.0324415900218165e-05,15.404366731643677
16nn,10000000,rastrigin_func,0,0,2.3358844878554877e-11,6.382683852432639e-05,1.201247401511338e-05,8.835651776100208e-06,192.5204484462738
16nn,10000,rastrigin_func,0,0,1.9330658252490943e-08,0.00018716348545832364,4.871275832783299e-05,3.463552720263115e-05,0.154710054397583
16nn,100000,rastrigin_func,0,0,7.919259107492314e-10,0.00020012268124970097,4.848368396900163e-05,3.527323456367197e-05,1.4756619930267334
16nn,1000,rastrigin_func,0.0,5.0,2.3746255535820612e-07,0.00015659548971400404,5.356535857474149e-05,3.963340627890728e-05,0.0607147216796875
16nn,10000,rastrigin_func,0.0,5.0,1.0599408838986178e-07,0.00018318188546561845,5.070070052369171e-05,3.655528402571344e-05,0.17141294479370117
16nn,1000000,rastrigin_func,0.0,5.0,1.5616819760803017e-10,0.00012512503548936995,2.8167126254523393e-05,2.054636610439051e-05,17.2372465133667
16nn,10000000,rastrigin_func,0.0,5.0,4.472660749324979e-12,7.820105826551399e-05,1.268609151422206e-05,9.393928514215777e-06,172.03332424163818
16nn,100000,rastrigin_func,0.0,5.0,3.034550778383574e-09,0.0001864651572177831,4.8565992104531774e-05,3.525184871407897e-05,1.4775662422180176
16nn,1000,rosenbrock_func,0,0,0.15742581124861238,603.2962586022264,89.91517774759848,91.74748024291503,0.09033346176147461
16nn,10000000,rosenbrock_func,0,0,1.483244362376395e-06,121.30196518825633,5.062493105525584,6.644125989188234,187.2263481616974
16nn,10000,rosenbrock_func,0,0,0.052614730704991466,457.1908660087812,48.86515461781499,56.73519911786302,0.2127366065979004
16nn,1000000,rosenbrock_func,0,0,9.53355824580568e-06,200.20325533049217,10.2686324805052,13.740848535776355,18.613877058029175
16nn,100000,rosenbrock_func,0,0,0.003160209578575831,321.74541743466403,22.312646147077146,28.634548164472147,1.765021800994873
16nn,1000,rosenbrock_func,0.0,5.0,0.07430911789971993,469.5507690423784,93.91879722162778,84.31755698997735,0.06789207458496094
16nn,10000,rosenbrock_func,0.0,5.0,0.03636749516804321,384.37973261797475,47.75016889219204,56.93926476463215,0.2402198314666748
